Τροία	Troy	17	0.33	3	0.79	0	0.23
νόος	mind	17	0.33	0	0	3	0.71
τιμή	that which is paid in token of worth	17	0.33	1	0.26	1	0.23
πέμπω	to send	17	0.33	2	0.53	1	0.23
κλισία	a place for lying down	17	0.33	0	0	1	0.23
τάχα	(Homer	17	0.33	4	1.06	2	0.47
ἠμί	to say	17	0.33	1	0.26	3	0.71
γλυκύς	sweet	17	0.33	0	0	1	0.23
ἀντίθεος	equal to the gods	17	0.33	1	0.26	2	0.47
ὅστις	indef. relative or indirect interrogative	17	0.33	0	0	4	0.94
καρπάλιμος	swift	17	0.33	0	0	2	0.47
ἐρετμόν	oar	17	0.33	0	0	2	0.47
ἀνέχω	to hold up; (mid.) endure	17	0.33	2	0.53	0	0.47
πόνος	work	17	0.33	3	0.79	1	0.23
ἄκρος	at the furthest point	17	0.33	4	1.06	0	0.23
εἶδος	that which is seen	17	0.33	1	0.26	4	0.94
κονία	dust	17	0.33	2	0.53	0	0.94
ὄχος	a carriage	17	0.33	1	0.26	0	0.94
ἆθλος	a contest for a prize	17	0.33	0	0	13	3.08
δόλος	a bait	17	0.33	1	0.26	4	0.94
φύω	to bring forth	17	0.33	4	1.06	1	0.23
Ὀλύμπιος	Olympian	16	0.31	1	0.26	0	0.23
ὀιστός	NoDef	16	0.31	0	0	1	0.23
οἴχομαι	to be gone	16	0.31	2	0.53	3	0.71
πρό	before	16	0.31	1	0.26	1	0.23
τέκος	the young	16	0.31	0	0	2	0.47
κήρ	doom	16	0.31	0	0	1	0.23
πυνθάνομαι	to learn by hearsay	16	0.31	2	0.53	1	0.23
Ποσειδεών	NoDef	16	0.31	0	0	4	0.94
κῆδος	care for	16	0.31	1	0.26	2	0.47
νικάω	to conquer	16	0.31	0	0	1	0.23
νόστος	a return home	16	0.31	0	0	2	0.47
ὑψηλός	high	16	0.31	1	0.26	1	0.23
θύρα	a door	16	0.31	2	0.53	0	0.23
θάλαμος	an inner room	16	0.31	6	1.59	2	0.47
εἰσοράω	to look into	16	0.31	0	0	4	0.94
ἔμπεδος	in the ground	16	0.31	1	0.26	3	0.71
σῖτος	corn	16	0.31	0	0	1	0.23
